id;valid_days;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5;mean_breaks;alpha;MBD;UBD;gini
51;2;704,50;347875,00;762159,01;493,27;1081,09;292,50;345,00;67,00;0;67,00;41,56;48,94;9,50;0;9,50;0,23;0;NA;NA;7716,50;36,17;39,28;44,90;71,90;120,50;61,29;75,05;83,25;104,40;120,50;-1,63;80,66;2263,65;3583,62;4748,60;5567,58;5567,58;77,00;2,28;2,0;6,70;0,57
55;3;682,00;307885,67;820914,65;454,57;1209,88;184,33;445,33;52,33;0;52,33;26,68;65,58;7,74;0;7,74;0,29;0;NA;NA;7601,33;24,10;36,00;43,47;63,13;115,00;59,58;73,11;80,78;101,67;115,00;-1,65;219,53;2286,34;3199,11;4154,76;5374,02;5374,02;66,00;2,58;1,5;3,80;0,48
56;2;788,00;297461,50;719973,72;389,24;936,79;358,00;382,00;48,00;0;48,00;45,56;48,05;6,39;0;6,39;0,14;0;NA;NA;5774,00;18,18;28,56;39,20;83,70;92,50;48,20;62,26;70,05;87,30;92,50;-1,77;98,82;2052,35;3132,11;4353,94;5626,04;5626,04;80,50;2,13;2,0;8,80;0,58
57;5;721,40;200564,20;541752,88;275,00;744,84;324,60;370,00;26,80;0;26,80;45,11;51,11;3,78;0;3,78;0,09;0;NA;NA;7136,00;44,44;53,99;62,19;93,84;142,20;69,21;89,33;98,45;119,20;142,20;-1,89;74,09;1654,98;2473,27;3160,10;3799,02;3799,02;82,00;2,11;2,0;6,42;0,53
58;1;636,00;321238,00;851056,73;505,09;1338,14;186,00;377,00;73,00;0;73,00;29,25;59,28;11,48;0;11,48;0,39;0;NA;NA;7128,00;30,70;44,27;57,30;73,40;113,00;62,03;76,93;83,00;98,80;113,00;-1,47;117,87;2569,89;3743,11;5137,91;5850,75;5850,75;56,00;2,40;2,0;4,98;0,53
59;4;730,50;266202,50;607756,06;367,32;844,46;336,50;366,25;27,75;0;27,75;45,33;50,89;3,78;0;3,78;0,09;0;NA;NA;6341,00;26,10;37,07;45,31;73,75;99,25;50,91;65,53;73,55;92,45;99,25;-1,71;60,40;1893,05;2720,73;3390,74;4168,08;4168,08;94,75;2,23;2,0;5,51;0,52
62;5;814,20;303587,40;711637,05;373,13;875,46;332,20;440,80;41,20;0;41,20;40,74;54,18;5,07;0;5,07;0,13;0;NA;NA;7283,40;27,25;42,17;53,85;83,80;128,40;61,93;75,67;83,18;109,68;128,40;-1,88;189,39;2050,50;2870,03;3663,31;4330,14;4330,14;92,80;2,29;2,0;6,01;0,54
63;5;718,20;540632,60;1169772,63;753,05;1632,04;211,60;388,60;118,00;0;118,00;28,76;54,92;16,32;0;16,32;0,83;0;NA;NA;11185,00;44,59;57,37;68,53;100,08;129,60;77,60;89,89;96,24;117,92;129,60;-1,44;333,17;3410,42;4862,14;5945,36;6770,88;6770,88;50,80;2,22;2,0;8,11;0,59
72;5;818,60;320375,20;872804,22;393,39;1070,65;267,20;493,40;58,00;0;58,00;32,71;60,13;7,16;0;7,16;0,22;0;NA;NA;8216,60;36,95;46,86;54,77;97,64;119,40;62,82;78,53;87,27;110,32;119,40;-1,71;328,03;2423,12;3382,79;4140,66;4777,62;4777,62;74,60;2,32;2,0;6,01;0,55
73;5;780,20;500157,80;1133689,77;636,07;1445,36;301,60;352,40;126,20;0;126,20;38,93;45,05;16,02;0;16,02;0,43;0;NA;NA;13149,40;55,46;76,27;80,57;106,84;130,40;86,12;99,13;104,44;119,00;130,40;-1,37;239,26;3525,07;4842,69;5766,73;6442,15;6442,15;68,40;2,11;2,0;8,35;0,57
